"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110PI110401","OTS","VxOTS","PI110401.PV","AI","ะด","",""
"FCS0092","VF","2110PI110402","OTS","VxOTS","PI110402.PV","AI","ะด","",""
"FCS0092","VF","2110PI110407","OTS","VxOTS","PI110407.PV","AI","ะด","",""
"FCS0092","VF","2110PI110505","OTS","VxOTS","PI110505.PV","AI","ะด","",""
"FCS0092","VF","2110PI110508","OTS","VxOTS","PI110508.PV","AI","ะด","",""
"FCS0092","VF","2110PI110509","OTS","VxOTS","PI110509.PV","AI","ะด","",""
"FCS0092","VF","2110PI110510","OTS","VxOTS","PI110510.PV","AI","ะด","",""
"FCS0092","VF","2110PI110511","OTS","VxOTS","PI110511.PV","AI","ะด","",""
"FCS0092","VF","2110PI110605","OTS","VxOTS","PI110605.PV","AI","ะด","",""
"FCS0092","VF","2110PI110608","OTS","VxOTS","PI110608.PV","AI","ะด","",""
"FCS0092","VF","2110PI110609","OTS","VxOTS","PI110609.PV","AI","ะด","",""
"FCS0092","VF","2110PI110610","OTS","VxOTS","PI110610.PV","AI","ะด","",""
"FCS0092","VF","2110PI110611","OTS","VxOTS","PI110611.PV","AI","ะด","",""
"FCS0092","VF","2110PI110705","OTS","VxOTS","PI110705.PV","AI","ะด","",""
"FCS0092","VF","2110PI110708","OTS","VxOTS","PI110708.PV","AI","ะด","",""
"FCS0092","VF","2110PI110709","OTS","VxOTS","PI110709.PV","AI","ะด","",""
"FCS0092","VF","2110PI110710","OTS","VxOTS","PI110710.PV","AI","ะด","",""
"FCS0092","VF","2110PI110711","OTS","VxOTS","PI110711.PV","AI","ะด","",""
"FCS0092","VF","2110PI110805","OTS","VxOTS","PI110805.PV","AI","ะด","",""
"FCS0092","VF","2110PI110808","OTS","VxOTS","PI110808.PV","AI","ะด","",""
"FCS0092","VF","2110PI110809","OTS","VxOTS","PI110809.PV","AI","ะด","",""
"FCS0092","VF","2110PI110810","OTS","VxOTS","PI110810.PV","AI","ะด","",""
"FCS0092","VF","2110PI110811","OTS","VxOTS","PI110811.PV","AI","ะด","",""
